,store,level,latitude,longitude,Stadium_200,Stadium_500,Stadium_1000,Food_200,Food_500,Food_1000,Athletics_Sports_200,Athletics_Sports_500,Athletics_Sports_1000,Parking_200,Parking_500,Parking_1000,Shop_Service_200,Shop_Service_500,Shop_Service_1000,Clothing_Store_200,Clothing_Store_500,Clothing_Store_1000,Bus_Stop_200,Bus_Stop_500,Bus_Stop_1000,Metro_Station_200,Metro_Station_500,Metro_Station_1000
125,"160 Main St, Harveyville, KS 66431",non,38.7917376,-95.9595917,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"17 Main St N, Velva, ND 58790",non,48.0571618,-100.9296576,0,0,0,3,5,5,0,0,0,0,0,0,6,8,10,0,0,0,0,0,0,0,0,0
127,"104 4th Ave SE, Watford City, ND 58854",non,47.7981441,-103.2817327,0,0,0,0,14,25,0,1,5,0,0,0,1,26,38,0,3,3,0,0,0,0,0,0
128,"115 Ely St, Rowley, IA 52329",non,42.3701877,-91.8438353,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0
129,"18044 SE 15th St, Choctaw, OK 73020",non,35.449428,-97.2116342,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
130,"625 S 10th Ave, Broken Bow, NE 68822",non,41.4002905,-99.6422333,0,0,0,4,7,10,0,0,0,0,0,0,0,27,33,0,2,2,0,0,0,0,0,0
131,"1320 W Main St, Lewistown, MT 59457",non,47.0581404,-109.4371217,0,0,0,3,6,10,0,0,1,0,0,0,3,5,12,0,0,0,0,0,0,0,0,0
132,"100 S Broadway Ave, Burns, OR 97720",non,43.5844487,-119.054796,0,0,0,1,12,15,0,0,0,0,0,0,2,13,21,0,0,0,0,0,0,0,0,0
133,"245 SE 2nd St, Hermiston, OR 97838",non,45.8388853,-119.2884044,0,0,0,10,26,42,0,1,2,0,0,0,18,36,40,0,1,4,0,0,0,0,0,0
134,"101 N 4th St, Coulee City, WA 99115",non,47.6113739,-119.292764,0,0,0,2,2,3,1,1,1,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0
135,"9914 N Wall St, Spokane, WA 99218",non,47.7470443,-117.4212674,0,0,0,2,2,39,0,0,6,0,0,1,1,2,39,0,0,6,0,1,1,0,0,0
136,"7251 Windsor Lakes Dr, Indianapolis, IN 46237",non,39.6649582,-86.0750257,0,0,0,7,16,38,0,2,9,0,0,0,5,18,48,0,0,4,0,0,0,0,0,0
137,"126 E Ash St, Springfield, IL 62704",non,39.7788247,-89.6536234,0,0,0,1,7,30,0,2,4,0,0,0,1,14,34,0,0,2,0,0,0,0,0,0
138,"6108, 200 Canal St, Belton, MO 64012",non,38.8088972,-94.5145922,0,0,0,1,11,40,0,0,4,0,0,1,2,17,48,0,0,2,0,0,0,0,0,0
